12024-07-11 23:31:16,427 - INFO - Watching for file changes with StatReloader
2024-07-11 23:31:17,383 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1715685377.0520117
2024-07-11 23:31:17,384 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\staggered.py first seen with mtime 1694627233.8013873
2024-07-11 23:31:17,384 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\contrib\sites\management.py first seen with mtime 1715685380.9352303
2024-07-11 23:31:17,385 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1715685370.3124232
2024-07-11 23:31:17,385 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\allauth\utils.py first seen with mtime 1716297820.5657544
2024-07-11 23:31:17,386 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\asyncio\sslproto.py first seen with mtime 1707495835.1956017
2024-07-11 23:31:17,387 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1715685381.3806195
2024-07-11 23:31:17,388 - DEBUG - File C:\Users\user\Desktop\all the good fellows\foolter\DM\AIDM1.02\backend\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1715685381.5080042
2024-07-11 23:31:17,389 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\pathlib.py first seen with mtime 1694627234.871475
2024-07-11 23:31:17,390 - DEBUG - File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\quopri.py first seen with mtime 1694627234.9183395
